Time resolution is 1 ps
Time=0, HSync=x, VSync=x, R=000x, G=0000, B=0000
Time=1412255, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1412305, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1412355, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1412405, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1412455, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1412505, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1412555, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1412605, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1412655, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1412705, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1412755, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1412805, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1412855, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1412905, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1412955, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1413005, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1413055, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1413105, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1413155, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1413205, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1413255, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1413305, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1413355, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1413405, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1413455, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1413505, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1413555, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1413605, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1413655, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1413705, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1413755, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1413805, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1413855, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1413905, HSync=1, VSync=1, R=1111, G=0000, B=0000
Time=1413955, HSync=1, VSync=1, R=0000, G=0000, B=1111
Time=1414005, HSync=1, VSync=1, R=0000, G=1111, B=0000
Time=1414055, HSync=1, VSync=1, R=1111, G=0000, B=0000
